transaction_id,customer_id,amount,currency,transaction_datetime,payment_method,ip_address,device_id,location
TXN-100000,CUST-1047,168.07,USD,2026-03-21 01:32:00,debit_card,192.168.108.68,DEV-5166,London
TXN-100001,CUST-1076,156.21,USD,2026-03-18 02:28:00,credit_card,192.168.106.158,DEV-9569,Islamabad
TXN-100002,CUST-1081,27.64,USD,2026-02-08 15:13:00,bank_transfer,192.168.229.78,DEV-7256,Lahore
TXN-100003,CUST-1108,233.47,USD,2026-03-15 07:46:00,bank_transfer,192.168.65.194,DEV-8405,Dubai
TXN-100004,CUST-1043,265.51,USD,2026-03-23 14:06:00,credit_card,192.168.104.95,DEV-9358,Dubai
TXN-100005,CUST-1182,256.34,USD,2026-03-13 12:58:00,crypto,10.0.0.99,DEV-9703,Lahore
TXN-100006,CUST-1065,97.85,USD,2026-03-07 14:29:00,credit_card,10.0.0.99,DEV-6484,Karachi
TXN-100007,CUST-1050,276.94,USD,2026-02-07 05:29:00,bank_transfer,192.168.12.23,DEV-8180,Karachi
TXN-100008,CUST-1050,276.94,USD,2026-02-07 05:30:00,debit_card,192.168.12.23,DEV-8180,Karachi
TXN-100009,CUST-1050,276.94,USD,2026-02-07 05:31:00,crypto,192.168.12.23,DEV-8180,Karachi
TXN-100010,CUST-1050,276.94,USD,2026-02-07 05:32:00,bank_transfer,192.168.12.23,DEV-8180,Karachi
TXN-100011,CUST-1050,276.94,USD,2026-02-07 05:33:00,debit_card,192.168.12.23,DEV-8180,Karachi
TXN-100012,CUST-1050,276.94,USD,2026-02-07 05:34:00,credit_card,192.168.12.23,DEV-8180,Karachi
TXN-100013,CUST-1168,104.63,USD,2026-02-05 00:47:00,paypal,192.168.24.51,DEV-3517,London
TXN-100014,CUST-1136,31.62,USD,2026-02-22 11:38:00,bank_transfer,192.168.45.129,DEV-5225,Peshawar
TXN-100015,CUST-1198,848.81,USD,2026-03-21 17:07:00,credit_card,192.168.172.154,DEV-6379,Karachi
TXN-100016,CUST-1197,214.65,USD,2026-03-29 02:08:00,crypto,192.168.76.235,DEV-266,London
TXN-100017,CUST-1122,145.21,USD,2026-02-02 18:55:00,debit_card,192.168.171.227,DEV-9380,New York
TXN-100018,CUST-1142,201.67,USD,2026-02-18 17:49:00,paypal,192.168.23.38,DEV-2305,New York
TXN-100019,CUST-1187,1939.94,USD,2026-01-13 00:56:00,crypto,192.168.94.12,DEV-NEW-54314,Lahore
TXN-100020,CUST-1076,160.65,USD,2026-02-01 20:41:00,bank_transfer,192.168.199.125,DEV-9569,Islamabad
TXN-100021,CUST-1106,3099.57,USD,2026-01-05 10:40:00,bank_transfer,192.168.12.102,DEV-1761,Islamabad
TXN-100022,CUST-1011,3083.78,USD,2026-03-14 16:45:00,crypto,192.168.142.194,DEV-2320,Islamabad
TXN-100023,CUST-1113,174.51,USD,2026-01-15 16:47:00,bank_transfer,192.168.220.238,DEV-2513,Dubai
TXN-100024,CUST-1023,132.7,USD,2026-02-01 08:11:00,paypal,192.168.78.133,DEV-2927,Lahore
TXN-100025,CUST-1070,105.16,USD,2026-02-25 05:15:00,bank_transfer,192.168.205.174,DEV-5959,London
TXN-100026,CUST-1070,105.16,USD,2026-02-25 05:16:00,crypto,192.168.205.174,DEV-5959,London
TXN-100027,CUST-1070,105.16,USD,2026-02-25 05:17:00,paypal,192.168.205.174,DEV-5959,London
TXN-100028,CUST-1070,105.16,USD,2026-02-25 05:18:00,crypto,192.168.205.174,DEV-5959,London
TXN-100029,CUST-1095,80.22,USD,2026-03-22 16:46:00,bank_transfer,192.168.80.33,DEV-2179,Karachi
TXN-100030,CUST-1008,149.76,USD,2026-02-22 06:33:00,paypal,192.168.12.142,DEV-2052,London
TXN-100031,CUST-1044,304.97,USD,2026-01-16 14:53:00,bank_transfer,192.168.248.205,DEV-3528,Karachi
TXN-100032,CUST-1186,136.45,USD,2026-03-12 12:34:00,crypto,192.168.22.173,DEV-5200,Lahore
TXN-100033,CUST-1059,1005.91,USD,2026-02-25 00:51:00,paypal,192.168.122.246,DEV-2482,London
